地址,行政区,街道,总户数,lng,lat
馨佳园十一街坊,宝山,顾村,15000,121.37418317084772,31.365288567924715
馨佳园九街坊,宝山,顾村,15000,121.37322674497125,31.368093009822804
浦江世博家园七街坊,闵行,浦江镇,8900,121.51295008229873,31.08401365576279
浦江世博家园十三街坊,闵行,浦江镇,8900,121.51424040833327,31.078891381394488
凤城三村,杨浦,控江,5922,121.5282979912589,31.28782287004112
曹杨五村,普陀,曹杨,5735,121.41453164079499,31.240215995928857
淞南五村,宝山,淞南,5528,121.49163742475228,31.34488479304042
城东新村,青浦,青浦城区,5405,121.33840213526592,31.835599975365863
殷行一村,杨浦,中原,5212,121.54906510786911,31.33217416545606
瑞和城九街区(鲁康路555弄),闵行,浦江镇,5179,121.52303428029263,31.032781464742207
西凌新邨,黄浦,蓬莱公园,4811,121.49307516272101,31.21097168820248
民乐佳苑,青浦,青浦城区,4671,121.09827914363245,31.163428205407943
合景峰汇,嘉定,嘉定新城,4173,121.26498748864911,31.350036943594294
控江四村,杨浦,控江,4063,121.53155497754642,31.290911920976683
金沁苑,浦东,航头,4058,121.60614784167012,31.087479454735107
龙湖北城天街,宝山,顾村,4004,121.3661567212855,31.367670367907404
浦江宝邸(江文路330弄),闵行,浦江镇,3844,121.5472990392365,31.07115273833139
曹杨八村,普陀,真如,3771,121.41154702073808,31.25292888689595
万科四季花城(公寓),宝山,杨行,3769,121.44948740310475,31.387961642164175
共富二村,宝山,共富,3768,121.43808296550284,31.35455387107869
外冈新苑,嘉定,嘉定北部,3715,121.16900480253568,31.370644468238677
曹杨三村,普陀,曹杨,3633,121.41043914055263,31.244599850859647
三湘四季花城,松江,松江大学城,3539,121.23562942729423,31.0615726758645
天馨花园(公寓),宝山,杨行,3429,121.44495024163496,31.371026706927623
共富一村,宝山,共富,3414,121.43647859186201,31.35861521045371
日晖六村,徐汇,大木桥,3385,121.46622103814462,31.201232983658134
万达广场(嘉定),嘉定,江桥,3381,121.33011185337544,31.24630738068734
保利西子湾,松江,松江大学城,3357,121.2413120181198,31.066802840773015
天钥新村,徐汇,万体馆,3357,121.44078120576314,31.17775556614847
康泰新城,宝山,大华,3315,121.41118401548151,31.288471840748173
美岸栖庭(公寓),宝山,高境,3312,121.498880911232,31.333628559754278
丰庄十四街坊,嘉定,丰庄,3283,121.36190028028757,31.254349169879642
万荣小区,静安,阳城,3236,121.43932109998724,31.235280169707643
蓝天新村,松江,松江老城,3230,121.25918416556301,31.019182334529297
控江五村,杨浦,控江,3223,121.53661728841736,31.29349226207843
真如西村,普陀,真如,3182,121.40580693835987,31.252311620846957
永泰花苑,浦东,三林,3126,121.52400220447963,31.14369063907894
美罗家园金丰苑,宝山,罗店,3112,121.34041595655819,31.39867892312944
瑞和新苑(浦涛路400弄),闵行,浦江镇,3068,121.54423366151426,31.056129537644587
淞南七村,宝山,淞南,3004,121.48671498004927,31.33889290564958
浦润苑,闵行,浦江镇,3000,121.53919225768,31.04823487984977
东安一村,徐汇,大木桥,2952,121.4637655200331,31.195351033168695
宜达新居,青浦,青浦城区,2949,121.15558851991362,31.169113481648598
罗阳七村,闵行,梅陇春申,2945,121.40633460301645,31.12901263811015
新理想花园,松江,松江老城,2943,121.2045660227592,31.02474288053761
中虹浦江苑(浦涛路75弄),闵行,浦江镇,2927,121.55103006134165,31.054926207598992
万业紫辰苑,宝山,杨行,2920,121.44469898558383,31.405662080085595
江南星城一期(顾戴路1199弄),闵行,古美罗阳,2917,121.39431931766772,31.14414311552845
长白三村,杨浦,黄兴公园,2911,121.54556126722746,31.29484111147227
中信泰富又一城,嘉定,嘉定新城,2828,121.25965595561685,31.33604185882427
东安二村,徐汇,大木桥,2812,121.45997781485028,31.19283107711445
爱庐世纪新苑,闵行,颛桥,2812,121.427622826653,31.08556484215027
品尊国际,普陀,真如,2788,121.4270250043361,31.262958850334574
泰安公寓一期（石家浜路150弄）,青浦,朱家角,2784,121.04176800162745,31.13392207117111
友谊家园,宝山,杨行,2749,121.45900962117163,31.40209478472644
聚丰景都,宝山,上大,2744,121.38135991322802,31.31850555954816
阳光威尼斯三期,普陀,桃浦,2744,121.37324012972334,31.26640276279896
红馥里,虹口,江杨南路251号,2740,121.47669402276325,31.31902984095549
凤城二村,杨浦,控江,2726,121.52513433891386,31.284134020032397
中国铁建青秀城,宝山,顾村,2689,121.4041346528225,31.366990729782934
龙柏二村,闵行,金汇龙柏,2658,121.36833619011382,31.188788008886583
真源小区,普陀,长征,2628,121.38746524662659,31.24556804408995
海尚明城,宝山,杨行,2601,121.4542539918018,31.400476870170724
四季绿城,宝山,淞南,2587,121.48381830410179,31.336407892624315
共富四村,宝山,共富,2570,121.4312831521145,31.35629253949364
莱顿小城,松江,松江大学城,2566,121.23983987505004,31.03889753670978
新城金郡,嘉定,嘉定新城,2560,121.24698796148459,31.351178897584138
杨泰二村,宝山,杨行,2554,121.44776175822008,31.375984336895428
象源丽都,普陀,长征,2553,121.38408896536734,31.24357082582877
金地褐石苑,松江,泗泾,2544,121.26107096645617,31.119480820425785
和家欣苑B区（ 红林路576弄）,宝山,杨行,2538,121.42523504077693,31.370697884628964
潼港八村,浦东,高桥,2473,121.57594420533869,31.35436799900531
金沙雅苑四五期,普陀,长征,2470,121.37622295316922,31.245836487472374
龙山新村,徐汇,万体馆,2444,121.44078120576314,31.17775556614847
车站新村(普陀),普陀,真如,2442,121.40905000091199,31.253538585543858
汇丰凯苑,嘉定,嘉定城区,2422,121.23403852823604,31.3932152100007
凌云新村,徐汇,华东理工,2414,121.42488101857545,31.145795841406223
延吉七村,杨浦,控江,2395,121.53947785248333,31.296751607370542
乐业五村,宝山,月浦,2385,121.43197475752663,31.42417033531704
佳境苑,宝山,罗店,2382,121.34407493456143,31.398294486362094
