序号,场所名称,所属区,建设类别,建设地点,总占地面积（公顷）,总占地面积（公顷）,有效使用面积（公顷）,避难人数（万人）,场所类型,lng,lat
1,音乐广场,黄浦区,Ⅱ类,延安东路523号,0.54,0.54,0.2,0.11,场地型,121.48452913325184,31.23291104426267
2,大连路公共绿地,杨浦区,Ⅰ类,荆州路405号,3.282,3.282,2,1.5,场地型,121.52086124932049,31.265200043133586
3,控江初级中学,杨浦区,Ⅱ类,永吉路118号,0.817,0.817,0.548,0.25,场所型,121.53925282695307,31.292346824079424
4,复旦实验中学,杨浦区,Ⅱ类,安波路151号,0.75,0.75,0.56,0.25,场所型,121.54336131703351,31.310107246270725
5,杨浦区教育学院附中,杨浦区,Ⅱ类,江浦路1322号,0.909,0.909,0.485,0.2,场所型,121.52628902081639,31.277596202627382
6,新中中学,静安区,Ⅱ类,原平路400号,10.12,10.12,6,0.17,场所型,121.4385711945475,31.292408462702458
7,岭南公园,静安区,Ⅱ类,汾西路580号,3.83,3.83,1.15,0.32,场地型,121.46259736354793,31.31992461391832
8,鲁迅公园,虹口区,Ⅱ类,四川北路甜爱支路280号,28.62,28.62,0.9,0.4,场地型,121.49027595292138,31.277016135071847
9,卢湾体育馆,黄浦区,Ⅲ类,肇嘉浜路128号,0.2949,0.2949,0.2359,0.09,场所型,121.47085611491502,31.210336695271177
10,市西中学,静安区,Ⅲ类,愚园路404号,3.83,3.83,2.94,0.7,场所型,121.44742148009291,31.229275299221015
11,中国中学,徐汇区,Ⅲ类,欽州南路85号,1.693,1.693,1.04,0.425,场所型,121.48053886017651,31.235929042252014
12,中山公园,长宁区,Ⅰ类,长宁路780号,21.42,21.42,13.81,0.8,场所型,121.42741998926886,31.226187221197616
13,上海市晋元高级中学,普陀区,Ⅱ类,新村路2169号,9,9,6.3,0.4,场所型,121.40455236488464,31.275219044705878
14,金鼎中学,普陀区,Ⅱ类,金鼎路1278号,1.064,1.064,0.487,0.16,场所型,121.38693623451178,31.263565242479718
15,市北职业高级中学,静安区,Ⅱ类,宝山路584号,2.26,2.26,0.35,0.08,场所型,121.48478901303586,31.265257301151163
16,风华高级中学,静安区,Ⅱ类,大宁路1000号,2.8,2.8,0.4,0.18,场所型,121.45047967137108,31.2765990983767
17,三泉公园,静安区,Ⅱ类,宝德路1200号,2.39,2.39,0.72,0.24,场地型,121.47357043484396,31.325600461188273
18,江湾初级中学,虹口区,Ⅲ类,奎照路528弄16号,1.34,1.34,1,0.2,场所型,121.48090294339971,31.305794188283354
19,上海理工大学附属中学,杨浦区,Ⅱ类,水丰路247号,0.64,0.64,0.5,0.25,场所型,121.54565819439198,31.292292745604428
20,复旦科技园小学,杨浦区,Ⅱ类,政悦路430号,0.48,0.48,0.38,0.19,场所型,121.53016098705604,31.338276901865843
21,市第十五中学,杨浦区,Ⅲ类,怀德路110号,0.225,0.225,0.18,0.09,场所型,121.53571503036312,31.25971885311261
